user_id,recommendations
762131,"2735,13936,10234,8285,7531,25693,23504,28134,25848,24983,7155,8277,27685,27953,27868,18387,23906,6234,8291,12575,29020,22120,8269,833,25134,8786,1611,26417,26782,11806,26307,22908,18424,7723,8725,24844,25032,28204,5807,28131,26383,9136,10135,19284,7133,9643,24551,20839,5121,24836"
256987,"2735,10234,25693,23504,28134,22120,8269,25134,27685,27953,3457,27868,18387,23906,5807,8291,12575,24844,21026,25032,28204,25848,24983,7155,13936,26782,8277,1611,833,9136,25859,26383,10135,19284,10214,7133,5832,9643,24551,15566,20839,27996,5121,24836,3468,26417,8786,5295,29020,26408"
566784,"2735,6234,22120,27155,8269,25134,25693,23504,7531,28134,10234,11806,8285,8725,29020,26307,5807,26749,12327,21026,25032,27139,28204,24378,26725,10228,24875,7544,24563,3289,26776,24654,24967,1611,25993,26782,26747,26220,29730,25900,28155,28096,22895,17371,26201,27867,26203,23420,12672,24552"
